ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
LG_AC05_L	6.8	3.2	170.98	19.62	4.13	0.4532843	0.532631	-0.251434	-0.579276	0.7389839
LG_AC05_R	6.8	3.2	170.98	19.62	4.13	0.4532843	0.532631	-0.251434	-0.579276	0.7389839
LG_AC06_L	5	2.4	120.9	21.76	4.31	-0.966742	-0.189221	-0.744421	-0.284861	1.4535772
LG_AC06_R	5	2.4	120.9	21.76	4.31	-0.966742	-0.189221	-0.744421	-0.284861	1.4535772
LG_AC07_L	4.6	2	176.38	23.26	4.13	-1.282303	-0.550147	-0.198277	-0.078495	0.7389839
LG_AC07_R	4.6	2	176.38	23.26	4.13	-1.282303	-0.550147	-0.198277	-0.078495	0.7389839
LG_AC08_L	5	3.2	134	23.5	3.96	-0.966742	0.532631	-0.615465	-0.045477	0.0640902
LG_AC08_R	5	3.2	134	23.5	3.96	-0.966742	0.532631	-0.615465	-0.045477	0.0640902
LG_AC09_L	5.2	2.8	151.9	15.38	3.79	-0.808961	0.1717052	-0.439258	-1.162602	-0.610803
LG_AC09_R	5.2	2.8	151.9	15.38	3.79	-0.808961	0.1717052	-0.439258	-1.162602	-0.610803
LG_AC10_L	5.2	1.6	112.44	14.78	3.96	-0.808961	-0.911072	-0.827702	-1.245149	0.0640902
LG_AC10_R	5.2	1.6	112.44	14.78	3.96	-0.808961	-0.911072	-0.827702	-1.245149	0.0640902
LG_AC12_L	5.8	4	211.42	23.88	4.13	-0.335619	1.2544827	0.1466568	0.0068024	0.7389839
LG_AC13_L	6	2.2	150	17.7	3.96	-0.177838	-0.369684	-0.457961	-0.843424	0.0640902
LG_AC13_R	6	2.2	150	17.7	3.96	-0.177838	-0.369684	-0.457961	-0.843424	0.0640902
LG_AC14_L	5.8	1.6	128.78	15.28	3.96	-0.335619	-0.911072	-0.666851	-1.17636	0.0640902
LG_AC14_R	5.8	1.6	128.78	15.28	3.96	-0.335619	-0.911072	-0.666851	-1.17636	0.0640902
LG_AC15_L	6	3.4	127.46	16.32	3.96	-0.177838	0.7130939	-0.679845	-1.03328	0.0640902
LG_AC15_R	6	3.4	127.46	16.32	3.96	-0.177838	0.7130939	-0.679845	-1.03328	0.0640902
LG_AC16_L	5.8	3.8	163.86	22.92	4.13	-0.335619	1.0740198	-0.321523	-0.125272	0.7389839
LG_AC16_R	5.8	3.8	163.86	22.92	4.13	-0.335619	1.0740198	-0.321523	-0.125272	0.7389839
LG_AC17_L	5	2.2	135.08	21.12	4.13	-0.966742	-0.369684	-0.604834	-0.37291	0.7389839
LG_AC17_R	5	2.2	135.08	21.12	4.13	-0.966742	-0.369684	-0.604834	-0.37291	0.7389839
LG_AC18_L	5.2	4.2	151.62	28.66	4.13	-0.808961	1.4349456	-0.442014	0.6644207	0.7389839
LG_AC19_L	4.8	4.2	176.9	23.9	4.13	-1.124522	1.4349456	-0.193158	0.009554	0.7389839
LG_AC19_R	4.8	4.2	176.9	23.9	4.13	-1.124522	1.4349456	-0.193158	0.009554	0.7389839
LG_AC20_L	6.6	2.6	110.26	12.32	4.13	0.2955036	-0.008758	-0.849161	-1.583588	0.7389839
LG_AC20_R	6.6	2.6	110.26	12.32	4.13	0.2955036	-0.008758	-0.849161	-1.583588	0.7389839
LG_AC21_L	5.2	2	151.82	16.74	3.96	-0.808961	-0.550147	-0.440045	-0.975498	0.0640902
LG_AC21_R	5.2	2	151.82	16.74	3.96	-0.808961	-0.550147	-0.440045	-0.975498	0.0640902
LG_AC22_L	7.4	3.6	217.42	17.94	4.13	0.9266263	0.8935569	0.2057208	-0.810405	0.7389839
LG_AC22_R	7.4	3.6	217.42	17.94	4.13	0.9266263	0.8935569	0.2057208	-0.810405	0.7389839
LG_AC23_L	5.4	3	153.9	16.32	3.96	-0.65118	0.3521681	-0.41957	-1.03328	0.0640902
LG_AC23_R	5.4	3	153.9	16.32	3.96	-0.65118	0.3521681	-0.41957	-1.03328	0.0640902
LG_AC24_L	5.2	2.6	164.56	15.14	4.13	-0.808961	-0.008758	-0.314633	-1.195621	0.7389839
LG_AC24_R	5.2	2.6	164.56	15.14	4.13	-0.808961	-0.008758	-0.314633	-1.195621	0.7389839
LG_AC25_L	5.2	2.4	152.56	13.84	3.96	-0.808961	-0.189221	-0.432761	-1.374471	0.0640902
LG_AC25_R	5.2	2.4	152.56	13.84	3.96	-0.808961	-0.189221	-0.432761	-1.374471	0.0640902
LG_AC26_L	6.2	3.2	199.14	19.62	4.13	-0.020058	0.532631	0.0257726	-0.579276	0.7389839
LG_AC26_R	6.2	3.2	199.14	19.62	4.13	-0.020058	0.532631	0.0257726	-0.579276	0.7389839
LG_AC27_L	6	4	153.7	19.36	3.79	-0.177838	1.2544827	-0.421538	-0.615046	-0.610803
LG_AC27_R	6	4	153.7	19.36	3.79	-0.177838	1.2544827	-0.421538	-0.615046	-0.610803
LG_KL01_L	5.6	2.4	152.36	27.18	3.79	-0.4934	-0.189221	-0.434729	0.4608067	-0.610803
LG_KL01_R	5.6	2.4	152.36	27.18	3.79	-0.4934	-0.189221	-0.434729	0.4608067	-0.610803
LG_KL02_L	6	3.6	237.42	22.34	3.96	-0.177838	0.8935569	0.4026006	-0.205066	0.0640902
LG_KL02_R	6	3.6	237.42	22.34	3.96	-0.177838	0.8935569	0.4026006	-0.205066	0.0640902
LG_KL03_L	7	4.8	174.9	24.68	4.13	0.6110649	1.9763344	-0.212846	0.1168641	0.7389839
LG_KL03_R	7	4.8	174.9	24.68	4.13	0.6110649	1.9763344	-0.212846	0.1168641	0.7389839
LG_KL04_L	5.4	2.8	159.52	21.96	3.96	-0.65118	0.1717052	-0.364246	-0.257346	0.0640902
LG_KL04_R	5.4	2.8	159.52	21.96	3.96	-0.65118	0.1717052	-0.364246	-0.257346	0.0640902
LG_KL05_L	5.8	2	229.68	28.04	3.96	-0.335619	-0.550147	0.3264081	0.5791229	0.0640902
LG_KL05_R	5.8	2	229.68	28.04	3.96	-0.335619	-0.550147	0.3264081	0.5791229	0.0640902
LG_KL06_L	6.2	2.6	184.64	23.84	3.79	-0.020058	-0.008758	-0.116965	0.0012993	-0.610803
LG_KL06_R	6.2	2.6	184.64	23.84	3.79	-0.020058	-0.008758	-0.116965	0.0012993	-0.610803
LG_KL07_L	4.6	1	126.34	23.1	4.13	-1.282303	-1.452461	-0.69087	-0.100508	0.7389839
LG_KL07_R	4.6	1	126.34	23.1	4.13	-1.282303	-1.452461	-0.69087	-0.100508	0.7389839
LG_KL08_L	7.2	1	180.92	20.1	4.13	0.7688456	-1.452461	-0.153585	-0.513239	0.7389839
LG_KL09_L	6.6	3.2	136.68	24.08	3.96	0.2955036	0.532631	-0.589083	0.0343178	0.0640902
LG_KL09_R	6.6	3.2	136.68	24.08	3.96	0.2955036	0.532631	-0.589083	0.0343178	0.0640902
LG_KL10_L	4.6	1	118.48	14.2	4.13	-1.282303	-1.452461	-0.768244	-1.324943	0.7389839
LG_KL10_R	4.6	1	118.48	14.2	4.13	-1.282303	-1.452461	-0.768244	-1.324943	0.7389839
LG_KL11_L	7.8	4.6	128.74	25.52	4.13	1.2421876	1.7958715	-0.667244	0.2324288	0.7389839
LG_KL11_R	7.8	4.6	128.74	25.52	4.13	1.2421876	1.7958715	-0.667244	0.2324288	0.7389839
LG_KL12_R	6.6	1.8	229.2	19.46	3.79	0.2955036	-0.730609	0.321683	-0.601288	-0.610803
LG_KL13_L	6	2.4	257.26	21.82	3.96	-0.177838	-0.189221	0.5979054	-0.276606	0.0640902
LG_KL13_R	6	2.4	257.26	21.82	3.96	-0.177838	-0.189221	0.5979054	-0.276606	0.0640902
LG_KL14_R	6.4	1	192.28	19.86	3.96	0.1377229	-1.452461	-0.041757	-0.546257	0.0640902
LG_KL16_L	6	5	143.5	20	4.31	-0.177838	2.1567973	-0.521947	-0.526997	1.4535772
LG_KL16_R	6	5	143.5	20	4.31	-0.177838	2.1567973	-0.521947	-0.526997	1.4535772
LG_KL17_L	5.8	1	126.02	17.74	4.13	-0.335619	-1.452461	-0.69402	-0.837921	0.7389839
LG_KL17_R	5.8	1	126.02	17.74	4.13	-0.335619	-1.452461	-0.69402	-0.837921	0.7389839
LG_KL18_L	5.6	1.6	146.62	29.32	4.13	-0.4934	-0.911072	-0.491234	0.7552215	0.7389839
LG_KL18_R	5.6	1.6	146.62	29.32	4.13	-0.4934	-0.911072	-0.491234	0.7552215	0.7389839
LG_KL19_L	5.2	2.8	128.16	18.66	4.13	-0.808961	0.1717052	-0.672954	-0.71135	0.7389839
LG_KL19_R	5.2	2.8	128.16	18.66	4.13	-0.808961	0.1717052	-0.672954	-0.71135	0.7389839
LG_KL20_L	7	4.6	204.5	22.56	4.13	0.6110649	1.7958715	0.0785364	-0.174799	0.7389839
LG_KL20_R	7	4.6	204.5	22.56	4.13	0.6110649	1.7958715	0.0785364	-0.174799	0.7389839
LG_KL21_L	6.4	1.2	168.8	15.3	4.13	0.1377229	-1.271998	-0.272894	-1.173609	0.7389839
LG_KL21_R	6.4	1.2	168.8	15.3	4.13	0.1377229	-1.271998	-0.272894	-1.173609	0.7389839
LG_KL22_L	5.4	1.2	234.74	20	4.13	-0.65118	-1.271998	0.3762187	-0.526997	0.7389839
LG_KL22_R	5.4	1.2	234.74	20	4.13	-0.65118	-1.271998	0.3762187	-0.526997	0.7389839
LG_KL23_L	6.2	1.8	178.32	20.98	3.96	-0.020058	-0.730609	-0.179179	-0.392171	0.0640902
LG_KL23_R	6.2	1.8	178.32	20.98	3.96	-0.020058	-0.730609	-0.179179	-0.392171	0.0640902
LG_KL24_L	4.8	1	226.22	16.26	4.13	-1.124522	-1.452461	0.2923479	-1.041535	0.7389839
LG_KL24_R	4.8	1	226.22	16.26	4.13	-1.124522	-1.452461	0.2923479	-1.041535	0.7389839
LG_KL25_L	6	5.2	140.36	21.84	4.13	-0.177838	2.3372602	-0.552857	-0.273855	0.7389839
LG_KL25_R	6	5.2	140.36	21.84	4.13	-0.177838	2.3372602	-0.552857	-0.273855	0.7389839
LG_SA01_L	5.8	2.6	134.94	15.62	4.13	-0.335619	-0.008758	-0.606212	-1.129584	0.7389839
LG_SA01_R	5.8	2.6	134.94	15.62	4.13	-0.335619	-0.008758	-0.606212	-1.129584	0.7389839
LG_SA02_L	5.6	1.6	129.24	20.06	4.55	-0.4934	-0.911072	-0.662322	-0.518742	2.4063683
LG_SA02_R	5.6	1.6	129.24	20.06	4.55	-0.4934	-0.911072	-0.662322	-0.518742	2.4063683
LG_SA04_L	8	5	182.2	15.78	4.1	1.3999683	2.1567973	-0.140985	-1.107572	0.619885
LG_SA04_R	8	5	182.2	15.78	4.1	1.3999683	2.1567973	-0.140985	-1.107572	0.619885
LG_SA05_L	6	1	117.68	18.06	4.06	-0.177838	-1.452461	-0.776119	-0.793896	0.4610865
LG_SA05_R	6	1	117.68	18.06	4.06	-0.177838	-1.452461	-0.776119	-0.793896	0.4610865
LG_SA06_L	5.4	1	106.56	15.66	4.31	-0.65118	-1.452461	-0.885584	-1.124081	1.4535772
LG_SA06_R	5.4	1	106.56	15.66	4.31	-0.65118	-1.452461	-0.885584	-1.124081	1.4535772
LG_SA07_L	5.4	1.4	122.96	15.64	4.03	-0.65118	-1.091535	-0.724143	-1.126832	0.3419876
LG_SA07_R	5.4	1.4	122.96	15.64	4.03	-0.65118	-1.091535	-0.724143	-1.126832	0.3419876
LG_SA08_L	6.4	1.2	138.62	13.34	4.31	0.1377229	-1.271998	-0.569986	-1.44326	1.4535772
LG_SA08_R	6.4	1.2	138.62	13.34	4.31	0.1377229	-1.271998	-0.569986	-1.44326	1.4535772
LG_SA09_L	5	2	150.74	17.66	4.31	-0.966742	-0.550147	-0.450677	-0.848927	1.4535772
LG_SA09_R	5	2	150.74	17.66	4.31	-0.966742	-0.550147	-0.450677	-0.848927	1.4535772
LG_SA10_L	6	2	135.48	26.18	3.96	-0.177838	-0.550147	-0.600896	0.3232296	0.0640902
LG_SA10_R	6	2	135.48	26.18	3.96	-0.177838	-0.550147	-0.600896	0.3232296	0.0640902
LG_SA11_L	5.8	4.4	137.4	16.58	4.31	-0.335619	1.6154085	-0.581995	-0.99751	1.4535772
LG_SA11_R	5.8	4.4	137.4	16.58	4.31	-0.335619	1.6154085	-0.581995	-0.99751	1.4535772
LG_SA12_L	6	1.2	131.74	14.68	3.96	-0.177838	-1.271998	-0.637712	-1.258906	0.0640902
LG_SA12_R	6	1.2	131.74	14.68	3.96	-0.177838	-1.271998	-0.637712	-1.258906	0.0640902
LG_SA13_L	5.2	1.4	126.2	19.42	4.13	-0.808961	-1.091535	-0.692248	-0.606791	0.7389839
LG_SA13_R	5.2	1.4	126.2	19.42	4.13	-0.808961	-1.091535	-0.692248	-0.606791	0.7389839
LG_SA14_L	6	2.6	165.14	18.7	4.31	-0.177838	-0.008758	-0.308923	-0.705847	1.4535772
LG_SA14_R	6	2.6	165.14	18.7	4.31	-0.177838	-0.008758	-0.308923	-0.705847	1.4535772
LG_SA15_L	7.2	1	159.82	14.98	4.31	0.7688456	-1.452461	-0.361293	-1.217633	1.4535772
LG_SA15_R	7.2	1	159.82	14.98	4.31	0.7688456	-1.452461	-0.361293	-1.217633	1.4535772
LG_SA16_L	5	4.2	118.58	19	4.13	-0.966742	1.4349456	-0.767259	-0.664574	0.7389839
LG_SA16_R	5	4.2	118.58	19	4.13	-0.966742	1.4349456	-0.767259	-0.664574	0.7389839
LG_SA17_L	7	3	176.7	18.28	4.13	0.6110649	0.3521681	-0.195127	-0.763629	0.7389839
LG_SA17_R	7	3	176.7	18.28	4.13	0.6110649	0.3521681	-0.195127	-0.763629	0.7389839
LG_SA18_L	6.8	2	154.08	19.32	4.13	0.4532843	-0.550147	-0.417798	-0.620549	0.7389839
LG_SA18_R	6.8	2	154.08	19.32	4.13	0.4532843	-0.550147	-0.417798	-0.620549	0.7389839
LG_SA19_L	5.6	1.2	96.22	19.18	4.13	-0.4934	-1.271998	-0.987371	-0.63981	0.7389839
LG_SA19_R	5.6	1.2	96.22	19.18	4.13	-0.4934	-1.271998	-0.987371	-0.63981	0.7389839
LG_SA20_L	5.2	1.2	150	15.26	3.96	-0.808961	-1.271998	-0.457961	-1.179112	0.0640902
LG_SA20_R	5.2	1.2	150	15.26	3.96	-0.808961	-1.271998	-0.457961	-1.179112	0.0640902
LG_SA21_L	5	1	104.6	16.48	4.13	-0.966742	-1.452461	-0.904878	-1.011268	0.7389839
LG_SA21_R	5	1	104.6	16.48	4.13	-0.966742	-1.452461	-0.904878	-1.011268	0.7389839
LG_SA22_L	6	3.2	129.28	16.94	4.31	-0.177838	0.532631	-0.661929	-0.947982	1.4535772
LG_SA22_R	6	3.2	129.28	16.94	4.31	-0.177838	0.532631	-0.661929	-0.947982	1.4535772
LG_SA23_L	5	1	125.12	18.52	4.13	-0.966742	-1.452461	-0.70288	-0.730611	0.7389839
LG_SA23_R	5	1	125.12	18.52	4.13	-0.966742	-1.452461	-0.70288	-0.730611	0.7389839
LG_SA24_R	5	1.6	139.82	28.16	4.13	-0.966742	-0.911072	-0.558173	0.5956322	0.7389839
LG_SA27_R	5.8	3.2	102.96	18.58	4.13	-0.335619	0.532631	-0.921023	-0.722356	0.7389839
LG_SA28_R	5	1	151.48	14.62	3.96	-0.966742	-1.452461	-0.443392	-1.267161	0.0640902
LG_SL01_L	6.2	1	129.02	18.74	3.79	-0.020058	-1.452461	-0.664488	-0.700344	-0.610803
LG_SL01_R	6.2	1	129.02	18.74	3.79	-0.020058	-1.452461	-0.664488	-0.700344	-0.610803
LG_SL02_L	5.2	2.2	149.26	14.18	3.79	-0.808961	-0.369684	-0.465246	-1.327695	-0.610803
LG_SL02_R	5.2	2.2	149.26	14.18	3.79	-0.808961	-0.369684	-0.465246	-1.327695	-0.610803
LG_SL03_L	4.8	2.4	127.96	18.64	3.96	-1.124522	-0.189221	-0.674923	-0.714101	0.0640902
LG_SL03_R	4.8	2.4	127.96	18.64	3.96	-1.124522	-0.189221	-0.674923	-0.714101	0.0640902
LG_SL04_L	5.8	2	133.36	17.52	3.96	-0.335619	-0.550147	-0.621765	-0.868188	0.0640902
LG_SL05_L	6.4	3.2	164.68	18.2	4.13	0.1377229	0.532631	-0.313451	-0.774635	0.7389839
LG_SL05_R	6.4	3.2	164.68	18.2	4.13	0.1377229	0.532631	-0.313451	-0.774635	0.7389839
LG_SL06_L	5.2	3	127.66	18.7	3.96	-0.808961	0.3521681	-0.677876	-0.705847	0.0640902
LG_SL06_R	5.2	3	127.66	18.7	3.96	-0.808961	0.3521681	-0.677876	-0.705847	0.0640902
LG_SL07_L	5.6	2.4	180.8	17.36	3.79	-0.4934	-0.189221	-0.154766	-0.8902	-0.610803
LG_SL07_R	5.6	2.4	180.8	17.36	3.79	-0.4934	-0.189221	-0.154766	-0.8902	-0.610803
LG_SL08_L	5.2	1	159.44	18.24	4.13	-0.808961	-1.452461	-0.365034	-0.769132	0.7389839
LG_SL08_R	5.2	1	159.44	18.24	4.13	-0.808961	-1.452461	-0.365034	-0.769132	0.7389839
LG_SL10_L	5.6	4	184.22	17.66	3.79	-0.4934	1.2544827	-0.1211	-0.848927	-0.610803
LG_SL11_L	5.2	2	145.44	22.52	4.1	-0.808961	-0.550147	-0.50285	-0.180302	0.619885
LG_SL11_R	5.2	2	145.44	22.52	4.1	-0.808961	-0.550147	-0.50285	-0.180302	0.619885
LG_SL12_L	6	2.2	102.52	17.28	3.79	-0.177838	-0.369684	-0.925354	-0.901206	-0.610803
LG_SL12_R	6	2.2	102.52	17.28	3.79	-0.177838	-0.369684	-0.925354	-0.901206	-0.610803
LG_SL13_L	5.8	2	158.12	18.5	3.96	-0.335619	-0.550147	-0.378028	-0.733362	0.0640902
LG_SL13_R	5.8	2	158.12	18.5	3.96	-0.335619	-0.550147	-0.378028	-0.733362	0.0640902
LG_SL14_L	7.2	3.2	213.2	16.18	3.96	0.7688456	0.532631	0.1641791	-1.052541	0.0640902
LG_SL14_R	7.2	3.2	213.2	16.18	3.96	0.7688456	0.532631	0.1641791	-1.052541	0.0640902
LG_SL15_L	6.2	1	120.5	14.96	3.79	-0.020058	-1.452461	-0.748359	-1.220385	-0.610803
LG_SL15_R	6.2	1	120.5	14.96	3.79	-0.020058	-1.452461	-0.748359	-1.220385	-0.610803
LG_SL16_L	4.6	2	127.58	20.82	4.13	-1.282303	-0.550147	-0.678663	-0.414183	0.7389839
LG_SL16_R	4.6	2	127.58	20.82	4.13	-1.282303	-0.550147	-0.678663	-0.414183	0.7389839
LG_SL17_L	4.8	2	149.92	18.36	3.96	-1.124522	-0.550147	-0.458749	-0.752623	0.0640902
LG_SL17_R	4.8	2	149.92	18.36	3.96	-1.124522	-0.550147	-0.458749	-0.752623	0.0640902
LG_SL18_L	5	1.8	170.7	19.62	3.96	-0.966742	-0.730609	-0.254191	-0.579276	0.0640902
LG_SL19_L	6.2	5	185.9	17.96	4.13	-0.020058	2.1567973	-0.104562	-0.807654	0.7389839
LG_SL19_R	6.2	5	185.9	17.96	4.13	-0.020058	2.1567973	-0.104562	-0.807654	0.7389839
LG_SL20_L	5	1.6	141.92	13.92	3.62	-0.966742	-0.911072	-0.537501	-1.363465	-1.285697
LG_SL20_R	5	1.6	141.92	13.92	3.62	-0.966742	-0.911072	-0.537501	-1.363465	-1.285697
LG_SL21_L	5.6	1.6	129.7	20.52	3.79	-0.4934	-0.911072	-0.657794	-0.455456	-0.610803
LG_SL21_R	5.6	1.6	129.7	20.52	3.79	-0.4934	-0.911072	-0.657794	-0.455456	-0.610803
LG_SL22_L	6.2	3	160.3	15.44	3.96	-0.020058	0.3521681	-0.356568	-1.154348	0.0640902
LG_SL22_R	6.2	3	160.3	15.44	3.96	-0.020058	0.3521681	-0.356568	-1.154348	0.0640902
LG_SL23_L	7	3.8	196.02	18.96	3.96	0.6110649	1.0740198	-0.004941	-0.670077	0.0640902
LG_SL23_R	7	3.8	196.02	18.96	3.96	0.6110649	1.0740198	-0.004941	-0.670077	0.0640902
LG_SL24_L	5	2.8	149.76	18.14	4.13	-0.966742	0.1717052	-0.460324	-0.78289	0.7389839
LG_SL24_R	5	2.8	149.76	18.14	4.13	-0.966742	0.1717052	-0.460324	-0.78289	0.7389839
LG_SL25_L	6.8	2.8	141.1	16.8	3.96	0.4532843	0.1717052	-0.545573	-0.967243	0.0640902
LG_SL25_R	6.8	2.8	141.1	16.8	3.96	0.4532843	0.1717052	-0.545573	-0.967243	0.0640902
LG_SL26_L	5.4	4.6	147.74	18.12	3.96	-0.65118	1.7958715	-0.480209	-0.785641	0.0640902
LG_SL26_R	5.4	4.6	147.74	18.12	3.96	-0.65118	1.7958715	-0.480209	-0.785641	0.0640902
LG_SL27_L	5	3.6	145.58	19.68	3.96	-0.966742	0.8935569	-0.501472	-0.571021	0.0640902
LG_SL27_R	5	3.6	145.58	19.68	3.96	-0.966742	0.8935569	-0.501472	-0.571021	0.0640902
LG_SL31_L	5.8	1.6	128.62	13.72	3.96	-0.335619	-0.911072	-0.668426	-1.39098	0.0640902
LG_SL32_L	6.6	2	159.52	24.26	4.13	0.2955036	-0.550147	-0.364246	0.0590817	0.7389839
LG_SL35_L	6.2	1.6	142.2	18.08	3.79	-0.020058	-0.911072	-0.534744	-0.791144	-0.610803
LG_SL35_R	6.2	1.6	142.2	18.08	3.79	-0.020058	-0.911072	-0.534744	-0.791144	-0.610803
LG_TA01_L	6	2	118.5	17.24	3.96	-0.177838	-0.550147	-0.768047	-0.906709	0.0640902
LG_TA01_R	6	2	118.5	17.24	3.96	-0.177838	-0.550147	-0.768047	-0.906709	0.0640902
LG_TA02_L	5	1.8	120.5	17.3	4.13	-0.966742	-0.730609	-0.748359	-0.898455	0.7389839
LG_TA02_R	5	1.8	120.5	17.3	4.13	-0.966742	-0.730609	-0.748359	-0.898455	0.7389839
LG_TA03_L	5.2	3.8	167.02	21.92	3.96	-0.808961	1.0740198	-0.290416	-0.262849	0.0640902
LG_TA03_R	5.2	3.8	167.02	21.92	3.96	-0.808961	1.0740198	-0.290416	-0.262849	0.0640902
LG_TA04_L	6	3	125.2	17.88	3.79	-0.177838	0.3521681	-0.702092	-0.81866	-0.610803
LG_TA04_R	6	3	125.2	17.88	3.79	-0.177838	0.3521681	-0.702092	-0.81866	-0.610803
LG_TA05_L	4.8	2	146.34	14.36	3.96	-1.124522	-0.550147	-0.49399	-1.302931	0.0640902
LG_TA05_R	4.8	2	146.34	14.36	3.96	-1.124522	-0.550147	-0.49399	-1.302931	0.0640902
LG_TA06_L	5	2	136.9	14.68	3.96	-0.966742	-0.550147	-0.586917	-1.258906	0.0640902
LG_TA06_R	5	2	136.9	14.68	3.96	-0.966742	-0.550147	-0.586917	-1.258906	0.0640902
LG_TA07_L	6	2	114.2	16.06	4.13	-0.177838	-0.550147	-0.810376	-1.06905	0.7389839
LG_TA07_R	6	2	114.2	16.06	4.13	-0.177838	-0.550147	-0.810376	-1.06905	0.7389839
LG_TA08_L	6	3.6	143.02	17.4	3.79	-0.177838	0.8935569	-0.526672	-0.884697	-0.610803
LG_TA08_R	6	3.6	143.02	17.4	3.79	-0.177838	0.8935569	-0.526672	-0.884697	-0.610803
LG_TA10_L	6	2.8	147	14.56	4.31	-0.177838	0.1717052	-0.487493	-1.275416	1.4535772
LG_TA10_R	6	2.8	147	14.56	4.31	-0.177838	0.1717052	-0.487493	-1.275416	1.4535772
LG_TA11_L	6.2	2.4	165.9	17.8	4.13	-0.020058	-0.189221	-0.301442	-0.829666	0.7389839
LG_TA11_R	6.2	2.4	165.9	17.8	4.13	-0.020058	-0.189221	-0.301442	-0.829666	0.7389839
LG_TA13_L	6.4	1.2	140.32	16.52	4.13	0.1377229	-1.271998	-0.553251	-1.005765	0.7389839
LG_TA13_R	6.4	1.2	140.32	16.52	4.13	0.1377229	-1.271998	-0.553251	-1.005765	0.7389839
LG_TA14_L	6	2.6	128.58	17.86	3.79	-0.177838	-0.008758	-0.668819	-0.821411	-0.610803
LG_TA14_R	6	2.6	128.58	17.86	3.79	-0.177838	-0.008758	-0.668819	-0.821411	-0.610803
LG_TA15_L	5.2	2.6	133.74	17.4	4.13	-0.808961	-0.008758	-0.618024	-0.884697	0.7389839
LG_TA15_R	5.2	2.6	133.74	17.4	4.13	-0.808961	-0.008758	-0.618024	-0.884697	0.7389839
LG_TA16_L	4.8	1.8	107.36	12.62	4.13	-1.124522	-0.730609	-0.877709	-1.542315	0.7389839
LG_TA16_R	4.8	1.8	107.36	12.62	4.13	-1.124522	-0.730609	-0.877709	-1.542315	0.7389839
LG_TA17_L	6.8	3.4	162.56	18.82	3.96	0.4532843	0.7130939	-0.334321	-0.689337	0.0640902
LG_TA17_R	6.8	3.4	162.56	18.82	3.96	0.4532843	0.7130939	-0.334321	-0.689337	0.0640902
LG_TA18_L	6.4	1.6	121.4	19.26	4.13	0.1377229	-0.911072	-0.739499	-0.628804	0.7389839
LG_TA18_R	6.4	1.6	121.4	19.26	4.13	0.1377229	-0.911072	-0.739499	-0.628804	0.7389839
LG_TA19_L	5.6	1.2	139.78	15.64	4.13	-0.4934	-1.271998	-0.558567	-1.126832	0.7389839
LG_TA19_R	5.6	1.2	139.78	15.64	4.13	-0.4934	-1.271998	-0.558567	-1.126832	0.7389839
LG_TA20_L	7	3.6	178.38	16.38	3.96	0.6110649	0.8935569	-0.178589	-1.025025	0.0640902
LG_TA20_R	7	3.6	178.38	16.38	3.96	0.6110649	0.8935569	-0.178589	-1.025025	0.0640902
LG_TA21_L	5.2	3	107.1	16.58	4.31	-0.808961	0.3521681	-0.880268	-0.99751	1.4535772
LG_TA21_R	5.2	3	107.1	16.58	4.31	-0.808961	0.3521681	-0.880268	-0.99751	1.4535772
LG_TA23_L	5.8	3.2	113.98	22.14	4.31	-0.335619	0.532631	-0.812542	-0.232582	1.4535772
LG_TA23_R	5.8	3.2	113.98	22.14	4.31	-0.335619	0.532631	-0.812542	-0.232582	1.4535772
LG_TA24_L	5.8	2.8	166.64	20.34	4.13	-0.335619	0.1717052	-0.294157	-0.48022	0.7389839
LG_TA24_R	5.8	2.8	166.64	20.34	4.13	-0.335619	0.1717052	-0.294157	-0.48022	0.7389839
LG_TA25_L	5.2	1	142.54	17.3	3.96	-0.808961	-1.452461	-0.531397	-0.898455	0.0640902
LG_TA25_R	5.2	1	142.54	17.3	3.96	-0.808961	-1.452461	-0.531397	-0.898455	0.0640902
LG_TA26_L	6	2	117.8	16.08	4.31	-0.177838	-0.550147	-0.774938	-1.066299	1.4535772
LG_TA26_R	6	2	117.8	16.08	4.31	-0.177838	-0.550147	-0.774938	-1.066299	1.4535772
LG_TA27_L	6	3.2	169.66	22.5	4.13	-0.177838	0.532631	-0.264428	-0.183054	0.7389839
LG_TA27_R	6	3.2	169.66	22.5	4.13	-0.177838	0.532631	-0.264428	-0.183054	0.7389839
LG_TA28_L	6	3.2	166.04	19.74	3.79	-0.177838	0.532631	-0.300064	-0.562767	-0.610803
LG_TA28_R	6	3.2	166.04	19.74	3.79	-0.177838	0.532631	-0.300064	-0.562767	-0.610803
LG_TA29_L	5	3	171.3	16.84	4.31	-0.966742	0.3521681	-0.248284	-0.96174	1.4535772
LG_TA29_R	5	3	171.3	16.84	4.31	-0.966742	0.3521681	-0.248284	-0.96174	1.4535772
LG_TA30_L	7	3.6	142.5	23.14	3.96	0.6110649	0.8935569	-0.531791	-0.095005	0.0640902
LG_TA30_R	7	3.6	142.5	23.14	3.96	0.6110649	0.8935569	-0.531791	-0.095005	0.0640902
LG_TA31_L	5	1.6	116.88	20.28	4.13	-0.966742	-0.911072	-0.783994	-0.488475	0.7389839
LG_TA31_R	5	1.6	116.88	20.28	4.13	-0.966742	-0.911072	-0.783994	-0.488475	0.7389839
