ID	CPN	TN	ICD	CIPD	DF	stCPN	stTN	stICD	stCIPD	stDF
FG_KL10_R	9.5	3	423.55	25.15	3.62	2.5833232	0.3521681	2.2348628	0.1815253	-1.285697
FG_KL11_L	5.5	2	130.85	22.61	3.79	-0.57229	-0.550147	-0.646474	-0.16792	-0.610803
FG_KL11_R	5.5	2	130.85	22.61	3.79	-0.57229	-0.550147	-0.646474	-0.16792	-0.610803
FG_KL12_L	6	2.83	167.68	23.12	3.96	-0.177838	0.1987746	-0.283919	-0.097756	0.0640902
FG_KL12_R	6	2.83	167.68	23.12	3.96	-0.177838	0.1987746	-0.283919	-0.097756	0.0640902
FG_KL13_L	6	1.83	186.43	25.24	3.62	-0.177838	-0.70354	-0.099345	0.1939072	-1.285697
FG_KL14_L	5.5	2.83	176.03	28.5	3.79	-0.57229	0.1987746	-0.201722	0.6424084	-0.610803
FG_KL14_R	5.5	2.83	176.03	28.5	3.79	-0.57229	0.1987746	-0.201722	0.6424084	-0.610803
FG_KL15_L	4.83	2.17	207.88	27.2	3.62	-1.100855	-0.396753	0.1118091	0.4635582	-1.285697
FG_KL15_R	4.83	2.17	207.88	27.2	3.62	-1.100855	-0.396753	0.1118091	0.4635582	-1.285697
FG_KL16_L	6.5	2.67	186.85	28.79	3.79	0.2166133	0.0544043	-0.09521	0.6823057	-0.610803
FG_KL16_R	6.5	2.67	186.85	28.79	3.79	0.2166133	0.0544043	-0.09521	0.6823057	-0.610803
FG_KL18_L	5.5	1.5	221.32	32.33	3.79	-0.57229	-1.001304	0.2441123	1.1693285	-0.610803
FG_KL18_R	5.5	1.5	221.32	32.33	3.79	-0.57229	-1.001304	0.2441123	1.1693285	-0.610803
FG_KL20_R	8.17	3.67	195.5	27.06	3.45	1.5340818	0.9567189	-0.01006	0.4442974	-1.960591
FG_KL22_L	4.83	3	234.74	35.57	3.79	-1.100855	0.3521681	0.3762187	1.6150781	-0.610803
FG_KL22_R	4.83	3	234.74	35.57	3.79	-1.100855	0.3521681	0.3762187	1.6150781	-0.610803
FG_KL26_L	6.17	3.67	385.4	35.48	3.79	-0.043725	0.9567189	1.8593145	1.6026961	-0.610803
FG_KL26_R	6.17	3.67	385.4	35.48	3.79	-0.043725	0.9567189	1.8593145	1.6026961	-0.610803
FG_KL27_L	7.5	5.67	471.56	32.8	3.79	1.0055166	2.7613481	2.7074729	1.2339897	-0.610803
FG_KL27_R	7.5	5.67	471.56	32.8	3.79	1.0055166	2.7613481	2.7074729	1.2339897	-0.610803
FG_KL28_L	6.33	2.17	252.38	35.97	3.62	0.0824997	-0.396753	0.5498667	1.6701089	-1.285697
FG_KL28_R	6.33	2.17	252.38	35.97	3.62	0.0824997	-0.396753	0.5498667	1.6701089	-1.285697
